U,n,k,n,o,w,n
Laptop Acer Aspire Gaming A715 75G 56ZL i5 10300H/8GB/512GB SSD/Nvidia GTX1650 4GB/Win10 (No.00770798),20.999.000₫,,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, Acer ComfyView Anti-glare LED-backlit
Intel Core i5-10300H
8 GB, DDR4, 3200 MHz
SSD 512 GB
GeForce GTX 1650 4GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09
Tặng thêm 1 năm bảo hành chính hãng Acer Xem chi tiết","2 đánh giá
|
530 Hỏi & đáp"
U,n,k,n,o,w,n
"Laptop Dell XPS 13 9310 i7 1165G7/16GB/512GB/13.4""UHD Touch/Bút/Win 10 (No.00772776)",59.999.000₫,,"13.4"", 3840 x 2160 Pixel, IPS, 60 Hz, 300 nits, Anti-glare LED Backlit Ultra Slim
Intel Core i7-1065G7
16 GB, LPDDR4, 4267 MHz
SSD 512 GB
Intel Iris Xe Graphics","Tặng PMH 200.000đ mua máy in Brother
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
0 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
U,n,k,n,o,w,n
Laptop Acer Swift 3 SF314 511 56G1 i5 1135G7/16GB/512GB SSD/Win10 (No.00768694),20.999.000₫,,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, Acer ComfyView LED-backlit
Intel Core i5-1135G7
16 GB, LPDDR4X, 4266 MHz
SSD 512 GB
Intel Iris Xe Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","7 đánh giá
|
628 Hỏi & đáp"
Laptop Asus Flip BR1100FKA-BP0732T N6000/4GB/64GB eMMc/11.6''HD touch/Win10 (No.00771095),10.499.000₫,,"11.6"", 1366 x 768 Pixel, IPS, 60 Hz, 250 nits, Anti-glare LED-backlit
Intel Pentium N6000
4 GB, DDR4, 3200 MHz
eMMC 64 GB
Intel UHD Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
161 Hỏi & đáp"
"Laptop Lenovo IdeaPad 5 Pro 14ITL6 i7 1165G7/16GB/512GB/14"" 2.2K/MX 450 2GB/Win 10 (No.00772055)",28.699.000₫,,"14.0"", IPS, 60 Hz, 300 nits, IPS LCD LED Backlit, True Tone
Intel Core i7-1165G7
16 GB, DDR4, 3200 MHz
NVIDIA Geforce MX450 2GB","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
24 Hỏi & đáp"
"Laptop Asus Vivobook M513UA-L1221T R5 5500U/8GB/512GB SSD/15.6"" OLED FHD/Win10 (No.00771898)",18.799.000₫,,"15.6"", 1920 x 1080 Pixel, OLED, 60 Hz, 400 nits, OLED
AMD Ryzen 5-5500U
8 GB, DDR4, 3200 MHz
SSD 512 GB
AMD Radeon Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09
Microsoft Office tặng PMH 300.000đ khi mua kèm Laptop Chip AMD","1 đánh giá
|
124 Hỏi & đáp"
U,n,k,n,o,w,n
U,n,k,n,o,w,n
"Laptop MSI Modern 14 B11MOL 688VN i3 1115G4/8GB/256GB/14""FHD/Win 10 (No.00770998)",14.999.000₫,,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, Anti-glare LED-backlit
Intel Core i3-1115G4
8 GB, DDR4, 3200 MHz
SSD 256 GB
Intel UHD Graphics","Tặng PMH 200.000đ mua máy in Brother
Giảm đến 300.000đ khi mua bảo hành (rơi vỡ + vào nước) kèm máy Xem chi tiết
Tặng PMH 100.000đ mua Microsoft 365 Personal/Family/Home & Student khi mua Online đến 30/09","1 đánh giá
|
539 Hỏi & đáp"
